('Total Revenue', 'Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         961436 function calls (935804 primitive calls) in 13.069 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    373/1    0.014    0.000   13.069   13.069 {built-in method builtins.exec}
        1    0.000    0.000   13.069   13.069 financial_enhanced.py:1(<module>)
        1    0.001    0.001   12.209   12.209 financial_enhanced.py:24(main)
        6    5.551    0.925    5.551    0.925 {built-in method time.sleep}
        3    0.000    0.000    4.477    1.492 webdriver.py:432(execute)
        3    0.000    0.000    4.477    1.492 remote_connection.py:383(execute)
        3    0.001    0.000    4.477    1.492 remote_connection.py:408(_request)
        3    0.000    0.000    4.466    1.489 _request_methods.py:69(request)
        3    0.000    0.000    4.465    1.488 poolmanager.py:425(urlopen)
        3    0.000    0.000    4.464    1.488 connectionpool.py:592(urlopen)
        3    0.000    0.000    4.463    1.488 connectionpool.py:377(_make_request)
        3    0.000    0.000    4.461    1.487 connection.py:534(getresponse)
        3    0.000    0.000    4.458    1.486 client.py:1384(getresponse)
        3    0.000    0.000    4.458    1.486 client.py:324(begin)
        8    0.000    0.000    4.457    0.557 socket.py:693(readinto)
        8    4.457    0.557    4.457    0.557 {method 'recv_into' of '_socket.socket' objects}
        3    0.000    0.000    4.456    1.485 client.py:291(_read_status)
       15    0.000    0.000    4.456    0.297 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    4.055    2.027 _request_methods.py:184(request_encode_body)
        1    0.000    0.000    3.192    3.192 webdriver.py:465(get)
        1    0.000    0.000    2.869    2.869 webdriver.py:30(__init__)
        1    0.000    0.000    2.869    2.869 webdriver.py:32(__init__)
       42    0.002    0.000    1.507    0.036 __init__.py:1(<module>)
        2    0.000    0.000    1.447    0.723 driver_finder.py:46(get_browser_path)
        3    0.000    0.000    1.447    0.482 driver_finder.py:52(_binary_paths)
        1    0.000    0.000    1.447    1.447 selenium_manager.py:38(binary_paths)
        1    0.000    0.000    1.443    1.443 selenium_manager.py:104(_run)
        1    0.000    0.000    1.443    1.443 subprocess.py:506(run)
        1    0.000    0.000    1.442    1.442 subprocess.py:1165(communicate)
        1    0.000    0.000    1.442    1.442 subprocess.py:2062(_communicate)
        2    0.000    0.000    1.442    0.721 selectors.py:402(select)
        5    1.442    0.288    1.442    0.288 {method 'poll' of 'select.poll' objects}
    376/7    0.004    0.000    0.864    0.123 <frozen importlib._bootstrap>:1349(_find_and_load)
        1    0.000    0.000    0.863    0.863 webdriver.py:199(__init__)
    375/7    0.003    0.000    0.863    0.123 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        1    0.000    0.000    0.863    0.863 webdriver.py:355(start_session)
    341/7    0.002    0.000    0.862    0.123 <frozen importlib._bootstrap>:911(_load_unlocked)
    308/7    0.001    0.000    0.861    0.123 <frozen importlib._bootstrap_external>:989(exec_module)
   790/12    0.001    0.000    0.860    0.072 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    71/10    0.000    0.000    0.721    0.072 {built-in method builtins.__import__}
   178/25    0.001    0.000    0.714    0.029 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.697    0.697 __init__.py:211(__init__)
        1    0.000    0.000    0.697    0.697 __init__.py:653(_feed)
        1    0.000    0.000    0.697    0.697 _htmlparser.py:449(feed)
        1    0.000    0.000    0.697    0.697 parser.py:105(feed)
        2    0.051    0.025    0.697    0.348 parser.py:135(goahead)
        1    0.000    0.000    0.558    0.558 service.py:95(start)
        9    0.000    0.000    0.442    0.049 service.py:1(<module>)
     4338    0.100    0.000    0.428    0.000 parser.py:320(parse_starttag)
        1    0.000    0.000    0.422    0.422 webdriver.py:589(page_source)
        9    0.000    0.000    0.412    0.046 webdriver.py:1(<module>)
        1    0.000    0.000    0.411    0.411 _request_methods.py:147(request_encode_url)
     1544    0.255    0.000    0.255    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.255    0.255 element.py:1(<module>)
        2    0.001    0.000    0.245    0.123 shutil.py:1525(which)
       86    0.000    0.000    0.243    0.003 shutil.py:1510(_access_check)
       86    0.000    0.000    0.243    0.003 <frozen genericpath>:16(exists)
      285    0.004    0.000    0.232    0.001 __init__.py:280(_compile)
      283    0.000    0.000    0.232    0.001 __init__.py:226(compile)
     4338    0.026    0.000    0.226    0.000 _htmlparser.py:142(handle_starttag)
      178    0.001    0.000    0.224    0.001 _compiler.py:740(compile)
     4338    0.037    0.000    0.190    0.000 __init__.py:990(handle_starttag)
  900/798    0.022    0.000    0.175    0.000 {built-in method builtins.__build_class__}
        4    0.000    0.000    0.161    0.040 remote_connection.py:1(<module>)
     4004    0.020    0.000    0.154    0.000 parser.py:398(parse_endtag)
