('Total Revenue', 'Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         834135 function calls (809540 primitive calls) in 2.411 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      308    1.158    0.004    1.158    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.068    0.068    0.068    0.068 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     3324    0.060    0.000    0.331    0.000 parser.py:320(parse_starttag)
    30284    0.057    0.000    0.057    0.000 {method 'match' of 're.Pattern' objects}
        1    0.057    0.057    0.057    0.057 {method 'connect' of '_socket.socket' objects}
 4797/212    0.048    0.000    0.138    0.001 _parser.py:512(_parse)
        1    0.044    0.044    0.044    0.044 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        2    0.041    0.021    0.539    0.270 parser.py:135(goahead)
 5594/201    0.031    0.000    0.071    0.000 _compiler.py:37(_compile)
      169    0.028    0.000    0.028    0.000 {built-in method marshal.loads}
     3324    0.027    0.000    0.040    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     3324    0.026    0.000    0.151    0.000 __init__.py:990(handle_starttag)
        1    0.023    0.023    0.023    0.023 {built-in method _socket.getaddrinfo}
    91210    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
     6902    0.019    0.000    0.080    0.000 __init__.py:829(endData)
     3324    0.018    0.000    0.176    0.000 _htmlparser.py:142(handle_starttag)
     3325    0.018    0.000    0.068    0.000 element.py:1627(__init__)
     3120    0.017    0.000    0.110    0.000 parser.py:398(parse_endtag)
72265/65880    0.016    0.000    0.019    0.000 {built-in method builtins.len}
     9793    0.016    0.000    0.016    0.000 element.py:377(setup)
58110/58104    0.015    0.000    0.015    0.000 {built-in method builtins.isinstance}
    30030    0.014    0.000    0.021    0.000 _parser.py:168(__getitem__)
    17464    0.014    0.000    0.014    0.000 {method 'group' of 're.Match' objects}
     3324    0.014    0.000    0.084    0.000 _htmlparser.py:204(handle_endtag)
     9901    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
     3325    0.013    0.000    0.015    0.000 __init__.py:812(pushTag)
     3234    0.013    0.000    0.027    0.000 __init__.py:870(object_was_parsed)
  573/568    0.013    0.000    0.108    0.000 {built-in method builtins.__build_class__}
      924    0.012    0.000    0.018    0.000 _compiler.py:243(_optimize_charset)
 1296/201    0.012    0.000    0.139    0.001 _parser.py:452(_parse_sub)
     3323    0.011    0.000    0.023    0.000 __init__.py:953(_popToTag)
    13167    0.011    0.000    0.020    0.000 _markupbase.py:44(updatepos)
       37    0.010    0.000    0.010    0.000 {method 'decompress' of 'zlib.Decompress' objects}
 5553/394    0.010    0.000    0.017    0.000 _parser.py:178(getwidth)
    23016    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
     3234    0.009    0.000    0.019    0.000 element.py:1292(__new__)
7230/7205    0.009    0.000    0.021    0.000 typing.py:392(inner)
    25803    0.009    0.000    0.009    0.000 _parser.py:240(__next)
3944/3914    0.009    0.000    0.012    0.000 {built-in method __new__ of type object at 0xa44b40}
    16918    0.009    0.000    0.015    0.000 _parser.py:261(get)
     9704    0.009    0.000    0.009    0.000 {method 'count' of 'str' objects}
        1    0.008    0.008    0.086    0.086 dammit.py:128(_populate_class_variables)
     3234    0.008    0.000    0.014    0.000 __init__.py:735(string_container)
     3324    0.008    0.000    0.009    0.000 __init__.py:789(popTag)
    18000    0.007    0.000    0.007    0.000 {method 'lower' of 'str' objects}
    15388    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
     2501    0.006    0.000    0.009    0.000 __init__.py:91(_replace_charref)
    18259    0.006    0.000    0.006    0.000 {method 'end' of 're.Match' objects}
     3324    0.006    0.000    0.025    0.000 parser.py:364(check_for_whole_start_tag)
      899    0.006    0.000    0.006    0.000 {built-in method posix.stat}
     3323    0.006    0.000    0.070    0.000 __init__.py:1056(handle_endtag)
     2621    0.006    0.000    0.006    0.000 {method 'findall' of 're.Pattern' objects}
    11/10    0.006    0.001    0.013    0.001 {built-in method _imp.exec_dynamic}
    13442    0.005    0.000    0.008    0.000 _parser.py:256(match)
    14669    0.005    0.000    0.005    0.000 {built-in method builtins.min}
     1826    0.005    0.000    0.006    0.000 __init__.py:909(_linkage_fixer)
      890    0.005    0.000    0.014    0.000 {method 'sub' of 're.Pattern' objects}
      437    0.005    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    12706    0.005    0.000    0.007    0.000 _parser.py:164(__len__)
     11/9    0.005    0.000    0.006    0.001 {built-in method _imp.create_dynamic}
      169    0.005    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.004    0.004    0.004    0.004 models.py:909(text)
      496    0.004    0.000    0.006    0.000 css_types.py:41(__init__)
      169    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
      322    0.004    0.000    0.239    0.001 __init__.py:280(_compile)
      226    0.004    0.000    0.323    0.001 {method 'read' of '_io.BufferedReader' objects}
     7579    0.004    0.000    0.006    0.000 _parser.py:176(append)
     7485    0.004    0.000    0.018    0.000 __init__.py:122(unescape)
     2332    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     3129    0.003    0.000    0.006    0.000 _htmlparser.py:222(handle_data)
       45    0.003    0.000    0.019    0.000 filter.py:130(filter)
6519/6451    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     6585    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
       16    0.003    0.000    0.007    0.000 enum.py:1708(convert_class)
       11    0.003    0.000    0.337    0.031 {method 'join' of 'bytes' objects}
      130    0.003    0.000    0.006    0.000 _compiler.py:467(_get_charset_prefix)
     2372    0.003    0.000    0.008    0.000 filter.py:539(matches_tag)
     4603    0.003    0.000    0.012    0.000 filter.py:725(match)
     3324    0.003    0.000    0.004    0.000 element.py:1821(is_empty_element)
     6725    0.003    0.000    0.003    0.000 {method 'start' of 're.Match' objects}
      831    0.002    0.000    0.003    0.000 _parser.py:372(_escape)
     4398    0.002    0.000    0.003    0.000 _parser.py:293(tell)
     7383    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     6271    0.002    0.000    0.002    0.000 _parser.py:113(__init__)
       17    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
     3256    0.002    0.000    0.003    0.000 __init__.py:1068(handle_data)
    225/4    0.002    0.000    0.463    0.116 <frozen importlib._bootstrap>:1349(_find_and_load)
      222    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      271    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
     3325    0.002    0.000    0.002    0.000 __init__.py:290(can_be_empty_element)
      169    0.002    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      268    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:304(acquire)
     9300    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
    10362    0.002    0.000    0.002    0.000 typing.py:2154(cast)
      341    0.002    0.000    0.007    0.000 css_parser.py:1108(selector_iter)
      924    0.002    0.000    0.003    0.000 _compiler.py:216(_compile_charset)
       70    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      268    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     4275    0.002    0.000    0.002    0.000 {built-in method builtins.max}
     4956    0.002    0.000    0.011    0.000 {built-in method builtins.next}
     3758    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
      338    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     4651    0.002    0.000    0.002    0.000 element.py:2788(descendants)
     1074    0.002    0.000    0.003    0.000 _parser.py:312(_class_escape)
      201    0.002    0.000    0.015    0.000 _compiler.py:511(_compile_info)
       38    0.002    0.000    0.012    0.000 response.py:105(decompress)
    171/1    0.002    0.000    2.411    2.411 {built-in method builtins.exec}
      324    0.002    0.000    0.005    0.000 typing.py:175(_type_check)
       17    0.002    0.000    0.004    0.000 __init__.py:355(namedtuple)
     3557    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      471    0.001    0.000    0.004    0.000 filter.py:617(_attribute_match)
      402    0.001    0.000    0.004    0.000 enum.py:1562(__and__)
       59    0.001    0.000    0.004    0.000 <frozen abc>:105(__new__)
      201    0.001    0.000    0.231    0.001 _compiler.py:740(compile)
     3212    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      961    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
     3325    0.001    0.000    0.002    0.000 __init__.py:636(set_up_substitutions)
    56/16    0.001    0.000    0.027    0.002 css_parser.py:925(parse_selectors)
        1    0.001    0.001    2.411    2.411 financial.py:1(<module>)
      906    0.001    0.000    0.003    0.000 typing.py:1188(__setattr__)
    224/4    0.001    0.000    0.463    0.116 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1397    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
     3829    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3789    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      308    0.001    0.000    1.160    0.004 ssl.py:1237(recv_into)
     3324    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      268    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2912    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1506    0.001    0.000    0.002    0.000 enum.py:1544(_get_value)
      198    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      204    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      169    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      268    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
     2585    0.001    0.000    0.004    0.000 css_parser.py:317(match)
       10    0.001    0.000    0.007    0.001 enum.py:919(_convert_)
    198/4    0.001    0.000    0.462    0.115 <frozen importlib._bootstrap>:911(_load_unlocked)
